Country Name,Country Code,2019
Aruba,ABW,
Afghanistan,AFG,0.1755
Angola,AGO,0.4075
Albania,ALB,3.6495
Andorra,AND,4.0128
Arab World,ARB,2.155536795
United Arab Emirates,ARE,5.7271
Argentina,ARG,2.5996
Armenia,ARM,6107
American Samoa,ASM,
Antigua and Barbuda,ATG,4.5171
Australia,AUS,12.5508
Austria,AUT,7.0899
Azerbaijan,AZE,
Burundi,BDI,0.8526
Belgium,BEL,19.4614
Benin,BEN,0.3888
Burkina Faso,BFA,0.8829
Bangladesh,BGD,0.4124
Bulgaria,BGR,4.8156
Bahrain,BHR,2.4944
Bahamas,BHS,4.5669
Bosnia and Herzegovina,BIH,5.7333
Belarus,BLR,11.0027
Belize,BLZ,2.3414
Bermuda,BMU,
Bolivia,BOL,1.5589
Brazil,BRA,10119
Barbados,BRB,3.06
Brunei,BRN,5.8974
Bhutan,BTN,1.8518
Botswana,BWA,5403
Central African Republic,CAF,0.2063
Canada,CAN,9.9438
Central Europe and the Baltics,CEB,7.165546073
Switzerland,CHE,17.5357
Channel Islands,CHI,
Chile,CHL,13.3248
China,CHN,2.6621
Cote d'Ivoire,CIV,0.6048
Cameroon,CMR,
Democratic Republic of Congo,COD,1.1101
Congo,COG,0.6271
Colombia,COL,1.3309
Comoros,COM,0.6285
Cape Verde,CPV,1.2983
Costa Rica,CRI,3.4144
Caribbean small states,CSS,2.331144778
Cuba,CUB,7.5614
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,5.2512
Czech Republic,CZE,8.3955
Germany,DEU,13.2352
Djibouti,DJI,
Dominica,DMA,6.4385
Denmark,DNK,10.3195
Dominican Republic,DOM,1.3802
Algeria,DZA,1.5477
East Asia & Pacific (excluding high income),EAP,2.656474719
Early-demographic dividend,EAR,1.973257532
East Asia & Pacific,EAS,3.42208574
Europe & Central Asia (excluding high income),ECA,6.852585332
Europe & Central Asia,ECS,8.32181515
Ecuador,ECU,2.5059
Egypt,EGY,1.9262
Euro area,EMU,9.805900137
Eritrea,ERI,1.4397
Spain,ESP,5.7295
Estonia,EST,11.1558
Ethiopia,ETH,0.7135
European Union,EUU,9.314771675
Fragile and conflict affected situations,FCS,1.039315757
Finland,FIN,14.7374
Fiji,FJI,3.3752
France,FRA,11.4707
Faeroe Islands,FRO,
Micronesia. Fed. Sts.,FSM,2.0426
Gabon,GAB,2946
United Kingdom,GBR,8.1723
Georgia,GEO,4.7293
Ghana,GHA,4.2001
Gibraltar,GIB,
Guinea,GIN,0.1238
Gambia,GMB,1.5447
Guinea-Bissau,GNB,0.6851
Equatorial Guinea,GNQ,0.5024
Greece,GRC,3.6331
Grenada,GRD,6.2837
Greenland,GRL,
Guatemala,GTM,0.0737
Guam,GUM,
Guyana,GUY,1.0398
High income,HIC,10.97289057
Hong Kong,HKG,
Honduras,HND,0.7357
Heavily indebted poor countries (HIPC),HPC,0.832453617
Croatia,HRV,8.1224
Haiti,HTI,0.6798
Hungary,HUN,6.9157
IBRD only,IBD,2.999699477
IDA & IBRD total,IBT,2.536552221
IDA total,IDA,1.156320438
IDA blend,IDB,1.648942691
Indonesia,IDN,2.4149
IDA only,IDX,0.912777738
Isle of Man,IMN,
India,IND,1.7271
Not classified,INX,
Ireland,IRL,16.0996
Iran,IRN,2.6286
Iraq,IRQ,2.0448
Iceland,ISL,16.2132
Israel,ISR,5.7002
Italy,ITA,5.7401
Jamaica,JAM,0.8068
Jordan,JOR,2.8212
Japan,JPN,12.1531
Kazakhstan,KAZ,7.2936
Kenya,KEN,1.1656
Kyrgyzstan,KGZ,
Cambodia,KHM,0.6855
Kiribati,KIR,3.8342
Saint Kitts and Nevis,KNA,4.2188
South Korea,KOR,7.3009
Kuwait,KWT,7.4145
Latin America & Caribbean (excluding high income),LAC,4.83444187
Laos,LAO,0.9522
Lebanon,LBN,1.6735
Liberia,LBR,0.5321
Libya,LBY,6.5305
Saint Lucia,LCA,3.1547
Latin America & Caribbean,LCN,5.053991228
Least developed countries: UN classification,LDC,0.724234362
Low income,LIC,0.979196825
Liechtenstein,LIE,
Sri Lanka,LKA,2.1803
Lower middle income,LMC,1.849505296
Low & middle income,LMY,2.491171903
Lesotho,LSO,3.2567
Late-demographic dividend,LTE,4.008227151
Lithuania,LTU,9.8472
Luxembourg,LUX,12.1744
Latvia,LVA,4.7517
Macao SAR. China,MAC,
St. Martin (French part),MAF,
Morocco,MAR,1.3887
Monaco,MCO,
Moldova,MDA,4.9235
Madagascar,MDG,146
Maldives,MDV,6.4282
Middle East & North Africa,MEA,2.542936241
Mexico,MEX,2.3961
Marshall Islands,MHL,3339
Middle income,MIC,2.677140312
Macedonia,MKD,3.7917
Mali,MLI,0.3585
Malta,MLT,9.4833
Myanmar,MMR,0.9993
Middle East & North Africa (excluding high income),MNA,2.008680812
Montenegro,MNE,5.2294
Mongolia,MNG,3.8938
Northern Mariana Islands,MNP,
Mozambique,MOZ,0.6847
Mauritania,MRT,0.9252
Mauritius,MUS,3.5152
Malawi,MWI,0.4386
Malaysia,MYS,3.4676
North America,NAC,14.07893173
Namibia,NAM,1954
New Caledonia,NCL,
Niger,NER,0.2695
Nigeria,NGA,1.1792
Nicaragua,NIC,1.5334
Netherlands,NLD,11.1839
Norway,NOR,18.2248
Nepal,NPL,3.1084
Nauru,NRU,7.6636
New Zealand,NZL,12.4482
OECD members,OED,9.954045362
Oman,OMN,4.1965
Other small states,OSS,3.774922485
Pakistan,PAK,0.6683
Panama,PAN,3.0741
Peru,PER,2.4398
Philippines,PHL,4.9351
Palau,PLW,7.2626
Papua New Guinea,PNG,0.4548
Poland,POL,6.8926
Pre-demographic dividend,PRE,0.851468784
Puerto Rico,PRI,
Korea. Dem. People’s Rep.,PRK,4.4489
Portugal,PRT,6.9746
Paraguay,PRY,1.6604
Palestine,PSE,
Pacific island small states,PSS,2.797560138
Post-demographic dividend,PST,11.21884877
French Polynesia,PYF,
Qatar,QAT,7.2628
Romania,ROU,7.3891
Russia,RUS,8.5429
Rwanda,RWA,1.2044
South Asia,SAS,1.482737979
Saudi Arabia,SAU,5.4763
Sudan,SDN,0.6952
Senegal,SEN,0.3127
Singapore,SGP,6.2432
Solomon Islands,SLB,2.1642
Sierra Leone,SLE,0.2239
El Salvador,SLV,1.8344
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,6.0855
Sub-Saharan Africa (excluding high income),SSA,0.985086063
South Sudan,SSD,
Sub-Saharan Africa,SSF,0.985744586
Small states,SST,3.453888542
Sao Tome and Principe,STP,1.9242
Suriname,SUR,2.7569
Slovakia,SVK,6.0671
Slovenia,SVN,9.9745
Sweden,SWE,11.8164
Swaziland,SWZ,4.1415
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,8.0773
Syria,SYR,1.5406
Turks and Caicos Islands,TCA,
Chad,TCD,0.2322
East Asia & Pacific (IDA & IBRD countries),TEA,2.634241146
Europe & Central Asia (IDA & IBRD countries),TEC,6.867263601
Togo,TGO,0.4102
Thailand,THA,2.7593
Tajikistan,TJK,
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.009759635
Timor,TLS,1668
Middle East & North Africa (IDA & IBRD countries),TMN,2.008680812
Tonga,TON,4157
South Asia (IDA & IBRD),TSA,1.482737979
Sub-Saharan Africa (IDA & IBRD countries),TSS,0.985744586
Trinidad and Tobago,TTO,4.0934
Tunisia,TUN,2.5136
Turkey,TUR,2.7107
Tuvalu,TUV,4.2609
Tanzania,TZA,0.5843
Uganda,UGA,1.2382
Ukraine,UKR,
Upper middle income,UMC,3.610368293
Uruguay,URY,1.9412
United States,USA,14548
Uzbekistan,UZB,
Saint Vincent and the Grenadines,VCT,7.0145
Venezuela,VEN,0.9416
British Virgin Islands,VGB,
United States Virgin Islands,VIR,
Vietnam,VNM,1.4463
Vanuatu,VUT,1.4247
World,WLD,3.81540351
Samoa,WSM,2.4885
Kosovo,XKX,
Yemen,YEM,0.7852
South Africa,ZAF,1.3078
Zambia,ZMB,1.3376
Zimbabwe,ZWE,1.9346